+--------+--------+------------------+
| l_name | f_name | AVG(t.work_time) |
+--------+--------+------------------+
| 川口   | 裕子   |           8.5476 |
| 神田   | 佐知子 |           8.5476 |
| 葉山   | 俊輔   |           8.5238 |
| 田中   | 真由子 |           8.5238 |
| 野上   | 利江   |           8.5238 |
| 木村   | 一郎   |           8.5000 |
| 大門   | 一郎   |           8.5000 |
| 藤岡   | 幸太郎 |           8.5000 |
| 中澤   | 康代   |           8.5000 |
| 戸川   | よしみ |           8.4762 |
| 加藤   | 昭雄   |           8.4762 |
| 藤井   | 雄太   |           8.4762 |
| 清水   | 春子   |           8.4762 |
| 津村   | 知美   |           8.4762 |
| 田辺   | 正一   |           8.4762 |
| 相沢   | 聡     |             NULL |
| 新渡戸 | 康治   |             NULL |
| 上田   | 一也   |             NULL |
| 寺岡   | 陽一   |             NULL |
| 佐藤   | 智子   |             NULL |
| 速水   | 和幸   |             NULL |
| 遠山   | 真一   |             NULL |
| 西     | 雄一   |             NULL |
| 山田   | 奈美   |             NULL |
| 近田   | 晃子   |             NULL |
| 妹尾   | 春樹   |             NULL |
+--------+--------+------------------+
26 rows in set (0.003 sec)
